,price,size_in_sqf,number_of_bath,number_of_bed,full_location,location_area,purpose_of_listing,type_of_listing,completion_status
6708,5000000.0,1012.0,3,3,"Block E, Section 12, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6709,7000000.0,1250.0,3,3,"Gandaria, Sutrapur, Dhaka",Sutrapur,For Sale,Apartment,Ready
6710,13000000.0,2200.0,3,3,"Sector 4, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6711,6000000.0,735.0,2,2,"Tejgaon, Dhaka",Tejgaon,For Sale,Apartment,Ready
6712,3000000.0,650.0,2,2,"Block C, Section 11, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6713,2800000.0,650.0,2,2,"Block C, Section 11, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6714,4500000.0,1300.0,3,4,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6715,18000000.0,1550.0,3,3,"Dhanmondi, Dhaka",Dhanmondi,For Sale,Apartment,Ready
6716,10000000.0,1500.0,3,3,"Sector 10, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6717,9500000.0,1180.0,3,3,"Bakshi Bazar, Lalbagh, Dhaka",Lalbagh,For Sale,Apartment,Ready
6718,11000000.0,1698.0,3,3,"Shantinagar, Dhaka",Shantinagar,For Sale,Apartment,Ready
6719,6800000.0,1260.0,3,3,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6720,6800000.0,1260.0,3,3,"Avenue 5, Block C, Section 11, Mirpur, Dhaka",Mirpur,For Sale,Apartment,Ready
6721,13500000.0,1455.0,3,3,"Farmgate, Tejgaon, Dhaka",Tejgaon,For Sale,Apartment,Ready
6722,10500000.0,1376.0,3,3,"Sector 10, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6723,7500000.0,1525.0,3,3,"Sector 10, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6724,7500000.0,1528.0,3,3,"Sector 10, Uttara, Dhaka",Uttara,For Sale,Apartment,Ready
6725,7000000.0,1510.0,4,4,"East Rampura, Rampura, Dhaka",Rampura,For Sale,Apartment,Ready
6726,4500000.0,970.0,2,3,"Shyamoli, Dhaka",Shyamoli,For Sale,Apartment,Ready
6727,3800000.0,850.0,2,2,"Shyamoli Housing (2nd Project), Adabor, Dhaka",Adabor,For Sale,Apartment,Ready
6728,3500000.0,750.0,2,2,"Shyamoli Housing (2nd Project), Adabor, Dhaka",Adabor,For Sale,Apartment,Ready
6729,3500000.0,750.0,2,2,"Shyamoli Housing (2nd Project), Adabor, Dhaka",Adabor,For Sale,Apartment,Ready
6730,3800000.0,850.0,2,2,"Shyamoli Housing (2nd Project), Adabor, Dhaka",Adabor,For Sale,Apartment,Ready
